-------- MisiSeqMS Start -------
File:C:\Users\patch\OneDrive\Documents\VisualStudio2022\Projects\MidiSeqMS\MusicStudioSongFiles\MusicStudio\PRELUDE.SNG has 2714 Bytes
==== PROCESS->Added 2 Objects
    Note:47 EVENT:236 Tick:0 State:4  *Ticks:3291
   ---- Note Timed Out: Pitch:47 Ticks:0
    Note:67 EVENT:237 Tick:0 State:4  *Ticks:3291
   ---- Note Timed Out: Pitch:67 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:69 EVENT:238 Tick:11 State:2  *Ticks:3292
    Note:47 EVENT:238 Tick:11 State:2  *Ticks:3292
---- PLAY QUEUE: Total Objects:2
    Note:69 EVENT:238 Tick:10 State:2  *Ticks:3293
    Note:47 EVENT:238 Tick:10 State:2  *Ticks:3293
---- PLAY QUEUE: Total Objects:2
    Note:69 EVENT:238 Tick:9 State:2  *Ticks:3294
    Note:47 EVENT:238 Tick:9 State:2  *Ticks:3294
---- PLAY QUEUE: Total Objects:2
    Note:69 EVENT:238 Tick:8 State:2  *Ticks:3295
    Note:47 EVENT:238 Tick:8 State:2  *Ticks:3295
---- PLAY QUEUE: Total Objects:2
    Note:69 EVENT:238 Tick:7 State:2  *Ticks:3296
    Note:47 EVENT:238 Tick:7 State:2  *Ticks:3296
---- PLAY QUEUE: Total Objects:2
    Note:69 EVENT:238 Tick:6 State:2  *Ticks:3297
    Note:47 EVENT:238 Tick:6 State:2  *Ticks:3297
---- PLAY QUEUE: Total Objects:2
    Note:69 EVENT:238 Tick:5 State:2  *Ticks:3298
    Note:47 EVENT:238 Tick:5 State:2  *Ticks:3298
---- PLAY QUEUE: Total Objects:2
    Note:69 EVENT:238 Tick:4 State:2  *Ticks:3299
    Note:47 EVENT:238 Tick:4 State:2  *Ticks:3299
---- PLAY QUEUE: Total Objects:2
    Note:69 EVENT:238 Tick:3 State:2  *Ticks:3300
    Note:47 EVENT:238 Tick:3 State:2  *Ticks:3300
---- PLAY QUEUE: Total Objects:2
    Note:69 EVENT:238 Tick:2 State:3  *Ticks:3301
    Note:47 EVENT:238 Tick:2 State:3  *Ticks:3301
---- PLAY QUEUE: Total Objects:2
    Note:69 EVENT:238 Tick:1 State:3  *Ticks:3302
    Note:47 EVENT:238 Tick:1 State:3  *Ticks:3302
---- PLAY QUEUE: Total Objects:2
    Note:69 EVENT:238 Tick:0 State:4  *Ticks:3303
   ---- Note Timed Out: Pitch:69 Ticks:0
    Note:47 EVENT:238 Tick:0 State:4  *Ticks:3303
   ---- Note Timed Out: Pitch:47 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:239 Tick:11 State:2  *Ticks:3304
    Note:47 EVENT:239 Tick:11 State:2  *Ticks:3304
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:239 Tick:10 State:2  *Ticks:3305
    Note:47 EVENT:239 Tick:10 State:2  *Ticks:3305
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:239 Tick:9 State:2  *Ticks:3306
    Note:47 EVENT:239 Tick:9 State:2  *Ticks:3306
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:239 Tick:8 State:2  *Ticks:3307
    Note:47 EVENT:239 Tick:8 State:2  *Ticks:3307
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:239 Tick:7 State:2  *Ticks:3308
    Note:47 EVENT:239 Tick:7 State:2  *Ticks:3308
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:239 Tick:6 State:2  *Ticks:3309
    Note:47 EVENT:239 Tick:6 State:2  *Ticks:3309
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:239 Tick:5 State:2  *Ticks:3310
    Note:47 EVENT:239 Tick:5 State:2  *Ticks:3310
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:239 Tick:4 State:2  *Ticks:3311
    Note:47 EVENT:239 Tick:4 State:2  *Ticks:3311
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:239 Tick:3 State:2  *Ticks:3312
    Note:47 EVENT:239 Tick:3 State:2  *Ticks:3312
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:239 Tick:2 State:3  *Ticks:3313
    Note:47 EVENT:239 Tick:2 State:3  *Ticks:3313
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:239 Tick:1 State:3  *Ticks:3314
    Note:47 EVENT:239 Tick:1 State:3  *Ticks:3314
---- PLAY QUEUE: Total Objects:2
    Note:71 EVENT:239 Tick:0 State:4  *Ticks:3315
   ---- Note Timed Out: Pitch:71 Ticks:0
    Note:47 EVENT:239 Tick:0 State:4  *Ticks:3315
   ---- Note Timed Out: Pitch:47 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:23 State:2  *Ticks:3316
    Note:47 EVENT:240 Tick:95 State:2  *Ticks:3316
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:22 State:2  *Ticks:3317
    Note:47 EVENT:240 Tick:94 State:2  *Ticks:3317
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:21 State:2  *Ticks:3318
    Note:47 EVENT:240 Tick:93 State:2  *Ticks:3318
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:20 State:2  *Ticks:3319
    Note:47 EVENT:240 Tick:92 State:2  *Ticks:3319
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:19 State:2  *Ticks:3320
    Note:47 EVENT:240 Tick:91 State:2  *Ticks:3320
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:18 State:2  *Ticks:3321
    Note:47 EVENT:240 Tick:90 State:2  *Ticks:3321
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:17 State:2  *Ticks:3322
    Note:47 EVENT:240 Tick:89 State:2  *Ticks:3322
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:16 State:2  *Ticks:3323
    Note:47 EVENT:240 Tick:88 State:2  *Ticks:3323
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:15 State:2  *Ticks:3324
    Note:47 EVENT:240 Tick:87 State:2  *Ticks:3324
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:14 State:2  *Ticks:3325
    Note:47 EVENT:240 Tick:86 State:2  *Ticks:3325
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:13 State:2  *Ticks:3326
    Note:47 EVENT:240 Tick:85 State:2  *Ticks:3326
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:12 State:2  *Ticks:3327
    Note:47 EVENT:240 Tick:84 State:2  *Ticks:3327
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:11 State:2  *Ticks:3328
    Note:47 EVENT:240 Tick:83 State:2  *Ticks:3328
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:10 State:2  *Ticks:3329
    Note:47 EVENT:240 Tick:82 State:2  *Ticks:3329
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:9 State:2  *Ticks:3330
    Note:47 EVENT:240 Tick:81 State:2  *Ticks:3330
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:8 State:2  *Ticks:3331
    Note:47 EVENT:240 Tick:80 State:2  *Ticks:3331
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:7 State:2  *Ticks:3332
    Note:47 EVENT:240 Tick:79 State:2  *Ticks:3332
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:6 State:2  *Ticks:3333
    Note:47 EVENT:240 Tick:78 State:2  *Ticks:3333
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:5 State:2  *Ticks:3334
    Note:47 EVENT:240 Tick:77 State:2  *Ticks:3334
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:4 State:2  *Ticks:3335
    Note:47 EVENT:240 Tick:76 State:2  *Ticks:3335
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:3 State:2  *Ticks:3336
    Note:47 EVENT:240 Tick:75 State:2  *Ticks:3336
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:2 State:3  *Ticks:3337
    Note:47 EVENT:240 Tick:74 State:2  *Ticks:3337
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:1 State:3  *Ticks:3338
    Note:47 EVENT:240 Tick:73 State:2  *Ticks:3338
---- PLAY QUEUE: Total Objects:2
    Note:72 EVENT:240 Tick:0 State:4  *Ticks:3339
   ---- Note Timed Out: Pitch:72 Ticks:0
    Note:47 EVENT:240 Tick:72 State:2  *Ticks:3339
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:71 State:2  *Ticks:3340
    Note:79 EVENT:241 Tick:11 State:2  *Ticks:3340
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:70 State:2  *Ticks:3341
    Note:79 EVENT:241 Tick:10 State:2  *Ticks:3341
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:69 State:2  *Ticks:3342
    Note:79 EVENT:241 Tick:9 State:2  *Ticks:3342
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:68 State:2  *Ticks:3343
    Note:79 EVENT:241 Tick:8 State:2  *Ticks:3343
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:67 State:2  *Ticks:3344
    Note:79 EVENT:241 Tick:7 State:2  *Ticks:3344
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:66 State:2  *Ticks:3345
    Note:79 EVENT:241 Tick:6 State:2  *Ticks:3345
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:65 State:2  *Ticks:3346
    Note:79 EVENT:241 Tick:5 State:2  *Ticks:3346
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:64 State:2  *Ticks:3347
    Note:79 EVENT:241 Tick:4 State:2  *Ticks:3347
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:63 State:2  *Ticks:3348
    Note:79 EVENT:241 Tick:3 State:2  *Ticks:3348
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:62 State:2  *Ticks:3349
    Note:79 EVENT:241 Tick:2 State:3  *Ticks:3349
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:61 State:2  *Ticks:3350
    Note:79 EVENT:241 Tick:1 State:3  *Ticks:3350
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:60 State:2  *Ticks:3351
    Note:79 EVENT:241 Tick:0 State:4  *Ticks:3351
   ---- Note Timed Out: Pitch:79 Ticks:0
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:59 State:2  *Ticks:3352
    Note:77 EVENT:242 Tick:11 State:2  *Ticks:3352
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:58 State:2  *Ticks:3353
    Note:77 EVENT:242 Tick:10 State:2  *Ticks:3353
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:57 State:2  *Ticks:3354
    Note:77 EVENT:242 Tick:9 State:2  *Ticks:3354
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:56 State:2  *Ticks:3355
    Note:77 EVENT:242 Tick:8 State:2  *Ticks:3355
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:55 State:2  *Ticks:3356
    Note:77 EVENT:242 Tick:7 State:2  *Ticks:3356
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:54 State:2  *Ticks:3357
    Note:77 EVENT:242 Tick:6 State:2  *Ticks:3357
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:53 State:2  *Ticks:3358
    Note:77 EVENT:242 Tick:5 State:2  *Ticks:3358
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:52 State:2  *Ticks:3359
    Note:77 EVENT:242 Tick:4 State:2  *Ticks:3359
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:51 State:2  *Ticks:3360
    Note:77 EVENT:242 Tick:3 State:2  *Ticks:3360
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:50 State:2  *Ticks:3361
    Note:77 EVENT:242 Tick:2 State:3  *Ticks:3361
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:49 State:2  *Ticks:3362
    Note:77 EVENT:242 Tick:1 State:3  *Ticks:3362
---- PLAY QUEUE: Total Objects:2
    Note:47 EVENT:240 Tick:48 State:2  *Ticks:3363
    Note:77 EVENT:242 Tick:0 State:4  *Ticks:3363
   ---- Note Timed Out: Pitch:77 Ticks:0
==== PROCESS->Added 2 Objects
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:47 State:2  *Ticks:3364
    Note:79 EVENT:243 Tick:23 State:2  *Ticks:3364
    Note:52 EVENT:243 Tick:47 State:2  *Ticks:3364
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:46 State:2  *Ticks:3365
    Note:79 EVENT:243 Tick:22 State:2  *Ticks:3365
    Note:52 EVENT:243 Tick:46 State:2  *Ticks:3365
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:45 State:2  *Ticks:3366
    Note:79 EVENT:243 Tick:21 State:2  *Ticks:3366
    Note:52 EVENT:243 Tick:45 State:2  *Ticks:3366
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:44 State:2  *Ticks:3367
    Note:79 EVENT:243 Tick:20 State:2  *Ticks:3367
    Note:52 EVENT:243 Tick:44 State:2  *Ticks:3367
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:43 State:2  *Ticks:3368
    Note:79 EVENT:243 Tick:19 State:2  *Ticks:3368
    Note:52 EVENT:243 Tick:43 State:2  *Ticks:3368
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:42 State:2  *Ticks:3369
    Note:79 EVENT:243 Tick:18 State:2  *Ticks:3369
    Note:52 EVENT:243 Tick:42 State:2  *Ticks:3369
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:41 State:2  *Ticks:3370
    Note:79 EVENT:243 Tick:17 State:2  *Ticks:3370
    Note:52 EVENT:243 Tick:41 State:2  *Ticks:3370
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:40 State:2  *Ticks:3371
    Note:79 EVENT:243 Tick:16 State:2  *Ticks:3371
    Note:52 EVENT:243 Tick:40 State:2  *Ticks:3371
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:39 State:2  *Ticks:3372
    Note:79 EVENT:243 Tick:15 State:2  *Ticks:3372
    Note:52 EVENT:243 Tick:39 State:2  *Ticks:3372
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:38 State:2  *Ticks:3373
    Note:79 EVENT:243 Tick:14 State:2  *Ticks:3373
    Note:52 EVENT:243 Tick:38 State:2  *Ticks:3373
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:37 State:2  *Ticks:3374
    Note:79 EVENT:243 Tick:13 State:2  *Ticks:3374
    Note:52 EVENT:243 Tick:37 State:2  *Ticks:3374
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:36 State:2  *Ticks:3375
    Note:79 EVENT:243 Tick:12 State:2  *Ticks:3375
    Note:52 EVENT:243 Tick:36 State:2  *Ticks:3375
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:35 State:2  *Ticks:3376
    Note:79 EVENT:243 Tick:11 State:2  *Ticks:3376
    Note:52 EVENT:243 Tick:35 State:2  *Ticks:3376
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:34 State:2  *Ticks:3377
    Note:79 EVENT:243 Tick:10 State:2  *Ticks:3377
    Note:52 EVENT:243 Tick:34 State:2  *Ticks:3377
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:33 State:2  *Ticks:3378
    Note:79 EVENT:243 Tick:9 State:2  *Ticks:3378
    Note:52 EVENT:243 Tick:33 State:2  *Ticks:3378
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:32 State:2  *Ticks:3379
    Note:79 EVENT:243 Tick:8 State:2  *Ticks:3379
    Note:52 EVENT:243 Tick:32 State:2  *Ticks:3379
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:31 State:2  *Ticks:3380
    Note:79 EVENT:243 Tick:7 State:2  *Ticks:3380
    Note:52 EVENT:243 Tick:31 State:2  *Ticks:3380
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:30 State:2  *Ticks:3381
    Note:79 EVENT:243 Tick:6 State:2  *Ticks:3381
    Note:52 EVENT:243 Tick:30 State:2  *Ticks:3381
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:29 State:2  *Ticks:3382
    Note:79 EVENT:243 Tick:5 State:2  *Ticks:3382
    Note:52 EVENT:243 Tick:29 State:2  *Ticks:3382
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:28 State:2  *Ticks:3383
    Note:79 EVENT:243 Tick:4 State:2  *Ticks:3383
    Note:52 EVENT:243 Tick:28 State:2  *Ticks:3383
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:27 State:2  *Ticks:3384
    Note:79 EVENT:243 Tick:3 State:2  *Ticks:3384
    Note:52 EVENT:243 Tick:27 State:2  *Ticks:3384
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:26 State:2  *Ticks:3385
    Note:79 EVENT:243 Tick:2 State:3  *Ticks:3385
    Note:52 EVENT:243 Tick:26 State:2  *Ticks:3385
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:25 State:2  *Ticks:3386
    Note:79 EVENT:243 Tick:1 State:3  *Ticks:3386
    Note:52 EVENT:243 Tick:25 State:2  *Ticks:3386
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:24 State:2  *Ticks:3387
    Note:79 EVENT:243 Tick:0 State:4  *Ticks:3387
   ---- Note Timed Out: Pitch:79 Ticks:0
    Note:52 EVENT:243 Tick:24 State:2  *Ticks:3387
==== PROCESS->Added 1 Objects
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:23 State:2  *Ticks:3388
    Note:52 EVENT:243 Tick:23 State:2  *Ticks:3388
    Note:74 EVENT:244 Tick:23 State:2  *Ticks:3388
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:22 State:2  *Ticks:3389
    Note:52 EVENT:243 Tick:22 State:2  *Ticks:3389
    Note:74 EVENT:244 Tick:22 State:2  *Ticks:3389
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:21 State:2  *Ticks:3390
    Note:52 EVENT:243 Tick:21 State:2  *Ticks:3390
    Note:74 EVENT:244 Tick:21 State:2  *Ticks:3390
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:20 State:2  *Ticks:3391
    Note:52 EVENT:243 Tick:20 State:2  *Ticks:3391
    Note:74 EVENT:244 Tick:20 State:2  *Ticks:3391
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:19 State:2  *Ticks:3392
    Note:52 EVENT:243 Tick:19 State:2  *Ticks:3392
    Note:74 EVENT:244 Tick:19 State:2  *Ticks:3392
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:18 State:2  *Ticks:3393
    Note:52 EVENT:243 Tick:18 State:2  *Ticks:3393
    Note:74 EVENT:244 Tick:18 State:2  *Ticks:3393
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:17 State:2  *Ticks:3394
    Note:52 EVENT:243 Tick:17 State:2  *Ticks:3394
    Note:74 EVENT:244 Tick:17 State:2  *Ticks:3394
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:16 State:2  *Ticks:3395
    Note:52 EVENT:243 Tick:16 State:2  *Ticks:3395
    Note:74 EVENT:244 Tick:16 State:2  *Ticks:3395
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:15 State:2  *Ticks:3396
    Note:52 EVENT:243 Tick:15 State:2  *Ticks:3396
    Note:74 EVENT:244 Tick:15 State:2  *Ticks:3396
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:14 State:2  *Ticks:3397
    Note:52 EVENT:243 Tick:14 State:2  *Ticks:3397
    Note:74 EVENT:244 Tick:14 State:2  *Ticks:3397
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:13 State:2  *Ticks:3398
    Note:52 EVENT:243 Tick:13 State:2  *Ticks:3398
    Note:74 EVENT:244 Tick:13 State:2  *Ticks:3398
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:12 State:2  *Ticks:3399
    Note:52 EVENT:243 Tick:12 State:2  *Ticks:3399
    Note:74 EVENT:244 Tick:12 State:2  *Ticks:3399
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:11 State:2  *Ticks:3400
    Note:52 EVENT:243 Tick:11 State:2  *Ticks:3400
    Note:74 EVENT:244 Tick:11 State:2  *Ticks:3400
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:10 State:2  *Ticks:3401
    Note:52 EVENT:243 Tick:10 State:2  *Ticks:3401
    Note:74 EVENT:244 Tick:10 State:2  *Ticks:3401
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:9 State:2  *Ticks:3402
    Note:52 EVENT:243 Tick:9 State:2  *Ticks:3402
    Note:74 EVENT:244 Tick:9 State:2  *Ticks:3402
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:8 State:2  *Ticks:3403
    Note:52 EVENT:243 Tick:8 State:2  *Ticks:3403
    Note:74 EVENT:244 Tick:8 State:2  *Ticks:3403
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:7 State:2  *Ticks:3404
    Note:52 EVENT:243 Tick:7 State:2  *Ticks:3404
    Note:74 EVENT:244 Tick:7 State:2  *Ticks:3404
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:6 State:2  *Ticks:3405
    Note:52 EVENT:243 Tick:6 State:2  *Ticks:3405
    Note:74 EVENT:244 Tick:6 State:2  *Ticks:3405
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:5 State:2  *Ticks:3406
    Note:52 EVENT:243 Tick:5 State:2  *Ticks:3406
    Note:74 EVENT:244 Tick:5 State:2  *Ticks:3406
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:4 State:2  *Ticks:3407
    Note:52 EVENT:243 Tick:4 State:2  *Ticks:3407
    Note:74 EVENT:244 Tick:4 State:2  *Ticks:3407
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:3 State:2  *Ticks:3408
    Note:52 EVENT:243 Tick:3 State:2  *Ticks:3408
    Note:74 EVENT:244 Tick:3 State:2  *Ticks:3408
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:2 State:3  *Ticks:3409
    Note:52 EVENT:243 Tick:2 State:3  *Ticks:3409
    Note:74 EVENT:244 Tick:2 State:3  *Ticks:3409
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:1 State:3  *Ticks:3410
    Note:52 EVENT:243 Tick:1 State:3  *Ticks:3410
    Note:74 EVENT:244 Tick:1 State:3  *Ticks:3410
---- PLAY QUEUE: Total Objects:3
    Note:47 EVENT:240 Tick:0 State:4  *Ticks:3411
   ---- Note Timed Out: Pitch:47 Ticks:0
    Note:52 EVENT:243 Tick:0 State:4  *Ticks:3411
   ---- Note Timed Out: Pitch:52 Ticks:0
    Note:74 EVENT:244 Tick:0 State:4  *Ticks:3411
   ---- Note Timed Out: Pitch:74 Ticks:0
==== PROCESS->Added 3 Objects
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:23 State:2  *Ticks:3412
    Note:53 EVENT:245 Tick:47 State:2  *Ticks:3412
    Note:47 EVENT:245 Tick:47 State:2  *Ticks:3412
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:22 State:2  *Ticks:3413
    Note:53 EVENT:245 Tick:46 State:2  *Ticks:3413
    Note:47 EVENT:245 Tick:46 State:2  *Ticks:3413
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:21 State:2  *Ticks:3414
    Note:53 EVENT:245 Tick:45 State:2  *Ticks:3414
    Note:47 EVENT:245 Tick:45 State:2  *Ticks:3414
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:20 State:2  *Ticks:3415
    Note:53 EVENT:245 Tick:44 State:2  *Ticks:3415
    Note:47 EVENT:245 Tick:44 State:2  *Ticks:3415
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:19 State:2  *Ticks:3416
    Note:53 EVENT:245 Tick:43 State:2  *Ticks:3416
    Note:47 EVENT:245 Tick:43 State:2  *Ticks:3416
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:18 State:2  *Ticks:3417
    Note:53 EVENT:245 Tick:42 State:2  *Ticks:3417
    Note:47 EVENT:245 Tick:42 State:2  *Ticks:3417
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:17 State:2  *Ticks:3418
    Note:53 EVENT:245 Tick:41 State:2  *Ticks:3418
    Note:47 EVENT:245 Tick:41 State:2  *Ticks:3418
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:16 State:2  *Ticks:3419
    Note:53 EVENT:245 Tick:40 State:2  *Ticks:3419
    Note:47 EVENT:245 Tick:40 State:2  *Ticks:3419
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:15 State:2  *Ticks:3420
    Note:53 EVENT:245 Tick:39 State:2  *Ticks:3420
    Note:47 EVENT:245 Tick:39 State:2  *Ticks:3420
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:14 State:2  *Ticks:3421
    Note:53 EVENT:245 Tick:38 State:2  *Ticks:3421
    Note:47 EVENT:245 Tick:38 State:2  *Ticks:3421
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:13 State:2  *Ticks:3422
    Note:53 EVENT:245 Tick:37 State:2  *Ticks:3422
    Note:47 EVENT:245 Tick:37 State:2  *Ticks:3422
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:12 State:2  *Ticks:3423
    Note:53 EVENT:245 Tick:36 State:2  *Ticks:3423
    Note:47 EVENT:245 Tick:36 State:2  *Ticks:3423
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:11 State:2  *Ticks:3424
    Note:53 EVENT:245 Tick:35 State:2  *Ticks:3424
    Note:47 EVENT:245 Tick:35 State:2  *Ticks:3424
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:10 State:2  *Ticks:3425
    Note:53 EVENT:245 Tick:34 State:2  *Ticks:3425
    Note:47 EVENT:245 Tick:34 State:2  *Ticks:3425
---- PLAY QUEUE: Total Objects:3
    Note:76 EVENT:245 Tick:9 State:2  *Ticks:3426
    Note:53 EVENT:245 Tick:33 State:2  *Ticks:3426
